model_variant,score,stride,offset,n_obs,positives,prevalence,f1,balanced_accuracy,roc_auc,pr_auc,brier_score,log_loss,prediction_positive_rate
corrected_asset_conditioned,family_prior_residual,60,27,352,68,0.19318181818181818,0.3261802575107296,0.5558202154101077,0.4409693454846727,0.17652047471864588,,,0.46875
corrected_asset_conditioned,family_prior_residual,60,28,352,60,0.17045454545454544,0.3392857142857143,0.6009132420091324,0.5097317351598173,0.18092840378702313,,,0.4659090909090909
corrected_asset_conditioned,family_prior_residual,60,29,352,64,0.18181818181818182,0.3463203463203463,0.5920138888888888,0.49126519097222227,0.18402349096463502,,,0.4744318181818182
corrected_asset_conditioned,family_prior_residual,60,30,352,46,0.13068181818181818,0.308411214953271,0.6381074168797953,0.5410628019323671,0.15750420001965965,,,0.4772727272727273
corrected_asset_conditioned,family_prior_residual,60,31,352,63,0.17897727272727273,0.354978354978355,0.605673642005822,0.5254023177898611,0.20882268818545013,,,0.4772727272727273
corrected_asset_conditioned,family_prior_residual,60,32,352,73,0.20738636363636365,0.3445378151260504,0.558599695585997,0.4803849364167525,0.2058848522807598,,,0.46875
corrected_asset_conditioned,family_prior_residual,60,33,352,66,0.1875,0.3217391304347826,0.5582750582750582,0.46230663276117817,0.18534108588172496,,,0.4659090909090909
corrected_asset_conditioned,family_prior_residual,60,34,352,70,0.19886363636363635,0.35294117647058826,0.5765957446808511,0.47745694022289764,0.20081270500817638,,,0.4772727272727273
corrected_asset_conditioned,family_prior_residual,60,35,352,58,0.16477272727272727,0.3333333333333333,0.6030964109781843,0.517915787004457,0.17482646720257816,,,0.48295454545454547
corrected_asset_conditioned,family_prior_residual,60,36,352,55,0.15625,0.354978354978355,0.6454545454545455,0.5168656259565351,0.1724717893108949,,,0.5
corrected_asset_conditioned,family_prior_residual,60,37,340,46,0.13529411764705881,0.3412322274881517,0.6719165927240461,0.5459923099674652,0.15242344902919325,,,0.4852941176470588
corrected_asset_conditioned,family_prior_residual,60,38,340,25,0.07352941176470588,0.16216216216216217,0.5698412698412698,0.46279365079365076,0.07171653300226241,,,0.47058823529411764
corrected_asset_conditioned,family_prior_residual,60,39,340,29,0.08529411764705883,0.17525773195876287,0.5551613260893669,0.43108992127730345,0.07548501348878683,,,0.4852941176470588
corrected_asset_conditioned,family_prior_residual,60,40,340,37,0.10882352941176471,0.2146341463414634,0.5563732048880564,0.4423334225314423,0.09929428868853693,,,0.49411764705882355
corrected_asset_conditioned,family_prior_residual,60,41,340,30,0.08823529411764706,0.20588235294117646,0.603225806451613,0.47817204301075267,0.08926918194378108,,,0.5117647058823529
