study,cell,seed,split,n_obs,n_assets,n_dates,mae,equal_asset_mae,rmse,spearman,tail_threshold_training_q90,tail_n,tail_mae,top_decile_actual_mean,overall_actual_mean,top_decile_risk_enrichment,prediction_min,prediction_max,equal_asset_mae_ci_lower,equal_asset_mae_ci_upper,spearman_ci_lower,spearman_ci_upper
continuous_downside,continuous_downside__training_asset_mean,ensemble,validation,20494,79,379,0.0241448431926487,0.021077176713889707,0.03729023469117317,0.42258604486047896,0.06444563865661622,2697,0.05335864564061685,0.08133032287476577,0.029374789509578,2.7687116821125493,0.0010541973157154414,0.1017185216825483,,,,
continuous_downside,continuous_downside__training_asset_mean,ensemble,test,21514,79,397,0.023884038230581016,0.020895697612222534,0.03856885204433607,0.4618130381319141,0.06444563865661622,2806,0.05628144581338668,0.07931258955658786,0.02891647202024434,2.7428169487986414,0.0010541973157154414,0.1017185216825483,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,ensemble,validation,20494,79,379,0.039307388123672585,0.03703865805805953,0.04711450516621058,0.43457377089171745,0.06444563865661622,2697,0.04047716277839227,0.09205934224105099,0.029374789595193133,3.133957502664649,0.022742824628949165,0.14590146640936533,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,ensemble,test,21514,79,397,0.04149732017618456,0.03941765812961285,0.049468034555995175,0.4579965610715272,0.06444563865661622,2806,0.043993796271918774,0.08446859746702279,0.02891647209539494,2.9211238905065025,0.026323641650378704,0.1368186374505361,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,123,validation,20494,79,379,0.04342600737594855,0.04118181891527659,0.05098390256900408,0.4110706713026522,0.06444563865661622,2697,0.03906289271769985,0.09256918398981415,0.029374789595193133,3.15131394183542,0.02496824599802494,0.15334849059581757,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,123,test,21514,79,397,0.04471244748569751,0.04260165192181142,0.05246062727374871,0.4575706667097802,0.06444563865661622,2806,0.04256360386833495,0.08454670906750672,0.02891647209539494,2.9238251744053905,0.02849132940173149,0.14638935029506683,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,42,validation,20494,79,379,0.028381418625675007,0.025841679465866924,0.03894888840040929,0.44716118452415227,0.06444563865661622,2697,0.05262489006072449,0.087042028600032,0.029374789595193133,2.96315411274556,0.0,0.13448776304721832,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,42,test,21514,79,397,0.03243629764407933,0.03029361483283673,0.04294946099976523,0.4395097440736279,0.06444563865661622,2806,0.053820500597065675,0.08192747186646074,0.02891647209539494,2.833245756819277,0.010051836259663105,0.14525988698005676,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,7,validation,20494,79,379,0.0487135371316533,0.0464528261132365,0.05582416481424105,0.406673585482874,0.06444563865661622,2697,0.03893034496753137,0.09263935279646297,0.029374789595193133,3.1537026842780316,0.03471121937036514,0.1552540361881256,,,,
continuous_downside,continuous_downside__transformer_encoder__asset_intercept_dynamic_residual,7,test,21514,79,397,0.04900678461680754,0.04680098636953494,0.05649091341354601,0.45062345309579394,0.06444563865661622,2806,0.04294765854409696,0.08428632078102018,0.02891647209539494,2.9148203315729893,0.032984472811222076,0.14973139762878418,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,ensemble,validation,20494,79,379,0.03742747788832015,0.035916133027134284,0.04596215648999709,0.2638503547609607,0.06444563865661622,2697,0.06731894821644073,0.07764836779091416,0.029374789595193133,2.643367624448295,0.032381294295191765,0.08326878150304158,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,ensemble,test,21514,79,397,0.039167326999602715,0.037816161044427275,0.04829899783922663,0.25564209370622204,0.06444563865661622,2806,0.07246825806876207,0.07502378528153517,0.02891647209539494,2.5944999457068274,0.027843135098616283,0.07304124906659126,0.035374279679942215,0.04000777096709815,0.1805077696181117,0.32711594750763423
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,123,validation,20494,79,379,0.03132958249549328,0.02923010959562309,0.042948445753027156,0.23484365844707553,0.06444563865661622,2697,0.07755045172532908,0.07339272777254625,0.029374789595193133,2.498493735068529,0.0075666215270757675,0.08383333683013916,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,123,test,21514,79,397,0.0330862863801151,0.031110824327315587,0.04535065829746679,0.2022966716135412,0.06444563865661622,2806,0.08164923388845502,0.06208528713868467,0.02891647209539494,2.1470560770299496,0.00957917794585228,0.09087099134922028,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,42,validation,20494,79,379,0.035444624457249115,0.03364102718027921,0.04569648390550173,0.17921950876898302,0.06444563865661622,2697,0.07714025593236017,0.06385534285862998,0.029374789595193133,2.1738144762432348,0.019588656723499298,0.0707588940858841,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,42,test,21514,79,397,0.0378851167977731,0.03628973941104727,0.04849368158069091,0.06950223428746118,0.06444563865661622,2806,0.08151189730046629,0.06295439650150549,0.02891647209539494,2.1771119344648966,0.015117007307708263,0.061984192579984665,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,7,validation,20494,79,379,0.04765876757763192,0.04683353552037502,0.053560788918223926,0.22015090345029906,0.06444563865661622,2697,0.049859647352827184,0.08322026388129083,0.029374789595193133,2.8330505521274927,0.04521998390555382,0.11354462802410126,,,,
continuous_downside,continuous_downside__transformer_encoder__no_id_temporal,7,test,21514,79,397,0.048315052609153745,0.047602054571839365,0.05473371165045344,0.23533714055395827,0.06444563865661622,2806,0.05629136549814718,0.07116693598443304,0.02891647209539494,2.4611209745661418,0.03468857333064079,0.09757295250892639,,,,
