study,cell,seed,split,score_type,calibration_method,threshold,n_obs,class_balance,prediction_positive_rate,prediction_unique_values,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,n,log_loss,calibration_intercept,calibration_slope,true_negative,false_positive,false_negative,true_positive,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,comparable_pairs,equal_asset_roc_auc,per_asset_macro_pr_auc,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
within_objective,within_objective__mlp__within_asset_pairwise,ensemble,test,validation_calibrated,isotonic,0.14,21514.0,0.16133680394161942,0.9227944594217719,2.0,0.21939202379845682,0.5106459004357097,0.2799691305093466,0.5224258838240918,0.1642580586345288,0.13596965699446592,0.018136369119346157,21514.0,0.4462187274552418,-1.4148175811279897,0.14617712060285218,1455.0,16588.0,206.0,3265.0,False,0.5371359247528132,0.5034575402395958,74,703101,0.5336944297422724,0.15766126608668046,,,,
within_objective,within_objective__mlp__within_asset_pairwise,123,validation,raw,none,0.5,20494.0,0.16746364789694546,0.004489118766468235,2.0,0.8292183077974041,0.4994038607038256,0.00681044267877412,0.5839000396606481,0.20263749214729895,0.14254355674762373,0.05334254734984181,20494.0,0.47264494462174156,-1.022985276972672,0.29295032832256374,16982.0,80.0,3420.0,12.0,True,0.5003707166511754,0.5231361032469923,75,662644,0.5764994824990874,0.1611640608705934,,,,
within_objective,within_objective__mlp__within_asset_pairwise,123,test,raw,none,0.5,21514.0,0.16133680394161942,0.0790647950171981,2.0,0.7817235288649251,0.49374202952826307,0.0920340293890178,0.6169899229014564,0.2032323406043841,0.16290320845944495,0.08750631897044064,21514.0,0.529411731644454,-1.3308778649688182,0.16684032456268263,16580.0,1463.0,3233.0,238.0,False,0.5605383573161244,0.5337895977960492,74,703101,0.6120483498962946,0.16612665111798705,,,,
within_objective,within_objective__mlp__within_asset_pairwise,42,validation,raw,none,0.5,20494.0,0.16746364789694546,0.7510002927686152,2.0,0.3315604567190397,0.4972993393899501,0.2722201561918929,0.4853474620464129,0.15807148889529654,0.4835640212454764,0.5216583461590956,20494.0,1.582473922810216,-1.5720637645770046,-0.02527440154951046,4233.0,12829.0,870.0,2562.0,False,0.5645531456519577,0.5646440622717477,75,662644,0.49714048435426345,0.20265855565836,,,,
within_objective,within_objective__mlp__within_asset_pairwise,42,test,raw,none,0.5,21514.0,0.16133680394161942,0.8607883238821232,2.0,0.2504415729292554,0.49041630486331567,0.26666666666666666,0.43529090282787913,0.136931289779338,0.602632281269474,0.6389038717699782,21514.0,2.4556414143420198,-1.4455395810403195,-0.09260287536547689,2456.0,15587.0,539.0,2932.0,False,0.5201539539017329,0.5005603746830114,74,703101,0.4544664379989584,0.1608696825480993,,,,
within_objective,within_objective__mlp__within_asset_pairwise,7,validation,raw,none,0.5,20494.0,0.16746364789694546,0.05084414950717283,2.0,0.8089196838098955,0.5182872235606382,0.12472060795708538,0.5552569621992902,0.20119751632693555,0.15728429740733585,0.10270891537475572,20494.0,0.4931443758092719,-1.2701057060623901,0.31782925477706553,16299.0,763.0,3153.0,279.0,False,0.4783176016657318,0.5268681222496544,75,662644,0.5488988481168806,0.1787923573471248,,,,
within_objective,within_objective__mlp__within_asset_pairwise,7,test,raw,none,0.5,21514.0,0.16133680394161942,0.12085153853304825,2.0,0.7578785906851353,0.5019794417615603,0.14198649316422335,0.5675977038303117,0.17776854899577793,0.18827361024958658,0.12623123448965706,21514.0,0.6383059524124306,-1.628802128344066,0.019828507881631686,15874.0,2169.0,3040.0,431.0,False,0.50833722186483,0.5073595400945241,74,703101,0.5725462231618184,0.1612308143361724,,,,
within_objective,within_objective__transformer_encoder__bce_plus_within_asset_pairwise,ensemble,validation,raw,isotonic,0.13,20494.0,0.16746364789694546,1.0,1.0,0.16746364789694546,0.5,0.28688456072891416,0.45757556460067894,0.1868951413357626,0.3503462400822586,0.4539063928684518,20494.0,0.9001418486867531,-1.137384061058798,-0.9581716174853878,0.0,17062.0,0.0,3432.0,True,0.6443294888850027,0.6011991355841145,75,662644,0.4800128884683955,0.23551969724804978,0.6011991355841145,0.5323286543555908,0.6634524329421486,1.0
within_objective,within_objective__transformer_encoder__bce_plus_within_asset_pairwise,ensemble,validation,validation_calibrated,isotonic,0.13,20494.0,0.16746364789694546,0.9983409778471748,2.0,0.16873231189616472,0.5002963960589092,0.2869579775657124,0.53818075118333,0.19491299012216595,0.13786427216674363,1.9517912814148558e-10,20494.0,0.4471207547673554,-0.005196936503898393,0.9967562330306367,30.0,17032.0,4.0,3428.0,True,0.5782176603340046,0.5461371415118828,75,662644,0.5466962430644589,0.19455857152980646,,,,
within_objective,within_objective__transformer_encoder__bce_plus_within_asset_pairwise,ensemble,test,raw,isotonic,0.13,21514.0,0.16133680394161942,1.0,1.0,0.16133680394161942,0.5,0.27784670802481487,0.36908740832046394,0.12860568140201015,0.3944497889814821,0.501938348653289,21514.0,0.997114106960985,0.1965160818003748,-2.8522428129391106,0.0,18043.0,0.0,3471.0,True,0.5911201476520527,0.5619235358789135,74,703101,0.4034319989103462,0.17393758673353163,0.5619235358789135,0.4925272010713156,0.625021577606716,1.0
within_objective,within_objective__transformer_encoder__bce_plus_within_asset_pairwise,ensemble,test,validation_calibrated,isotonic,0.13,21514.0,0.16133680394161942,0.998698521892721,2.0,0.16068606488797993,0.4971689162224631,0.2764755379252314,0.4004623115115715,0.14481216516391449,0.14787275182372964,0.07643405530499052,21514.0,0.5019244677997595,-2.054838264791634,-0.289847225404801,7.0,18036.0,21.0,3450.0,True,0.5736930524594931,0.541471993355151,74,703101,0.4306211429499026,0.1681545403476426,,,,
within_objective,within_objective__transformer_encoder__bce_plus_within_asset_pairwise,123,validation,raw,none,0.5,20494.0,0.16746364789694546,0.9996096418463941,2.0,0.16785400605055137,0.5002344391044427,0.28698051676561587,0.5038278912311851,0.19379802331373797,0.39692733516017875,0.5061120449016301,20494.0,1.0022710305734235,-1.191786118318378,-0.5690186065449274,8.0,17054.0,0.0,3432.0,True,0.533395640281504,0.5547760184956024,75,662644,0.5082337709814363,0.17917508628343384,,,,
within_objective,within_objective__transformer_encoder__bce_plus_within_asset_pairwise,123,test,raw,none,0.5,21514.0,0.16133680394161942,0.9935855721855535,2.0,0.15854792228316444,0.48681973165899517,0.27142109711433976,0.46187010629382064,0.15095867291429854,0.40862150353095117,0.5214823301027198,21514.0,1.0285268735647637,0.17896994915159029,-2.4697977221822014,39.0,18004.0,99.0,3372.0,True,0.4795163253568729,0.5298100841842068,74,703101,0.4685323927017464,0.15961987454276813,,,,
