model,identity_variant,seed,aggregation,calibration_method,threshold,status,n_obs,positives,prevalence,roc_auc,pr_auc,f1,balanced_accuracy,brier_score,log_loss,prediction_positive_rate,degenerate_prediction,per_asset_macro_roc_auc,pair_weighted_within_asset_roc_auc,eligible_assets,within_asset_estimate,within_asset_ci_lower,within_asset_ci_upper,within_asset_valid_draw_fraction
tcn,asset_conditioned,123,equal_date,isotonic,0.21,completed,21514,3471,0.2600330538107536,0.7060523460188904,0.4133076680539989,0.49614420854290275,0.6544483217874189,0.17887796597383576,0.5384770957657189,0.4239071517393106,False,,,,,,,
tcn,asset_conditioned,123,equal_family,isotonic,0.21,completed,21514,3471,0.1464612135695259,0.7143452318809961,0.31737041955925066,0.38101072778752226,0.654309129122127,0.11377792473537685,0.3781634949298846,0.24245722434576336,False,,,,,,,
tcn,asset_conditioned,ensemble,pooled,isotonic,0.23,completed,21514,3471,0.16133680394161942,0.7758812365600644,0.38197013060021556,0.4498094027954257,0.7164876607313433,0.12168778839916713,0.38693690115598695,0.35079483127265965,False,0.5776566751388287,0.5474533530744516,74.0,0.5474533530744516,0.4921661452227869,0.5990244308095809,1.0
tcn,asset_conditioned,ensemble,equal_asset,isotonic,0.23,completed,21514,3471,0.1328884354175302,0.7696023648483458,0.34117018335630134,0.40114687549423694,0.7059375856683279,0.10915886766776943,0.35618457006931215,0.30739623122787996,False,,,,,,,
tcn,asset_conditioned,ensemble,equal_date,isotonic,0.23,completed,21514,3471,0.2600330538107536,0.7541013231645661,0.4742178773818407,0.5509984147731529,0.7064233697927714,0.1639656167708121,0.49036414332802314,0.5042858357512567,False,,,,,,,
tcn,asset_conditioned,ensemble,equal_family,isotonic,0.23,completed,21514,3471,0.1464612135695259,0.805069912680556,0.38667204226843777,0.45555678264992044,0.7294257939616968,0.1084493753399038,0.35065793007547885,0.2951465835451981,False,,,,,,,
tcn,no_explicit_asset_id,7,pooled,isotonic,0.21,completed,21514,3471,0.16133680394161942,0.7134656856177294,0.35458105466514195,0.3315970166923168,0.6091336466569913,0.1407486535320073,0.45145194809188616,0.6239193083573487,False,0.6165239974902731,0.5494189312772987,74.0,,,,
tcn,no_explicit_asset_id,7,equal_asset,isotonic,0.21,completed,21514,3471,0.13288843541753018,0.6877783048958113,0.30522464801779947,0.2785191410635124,0.596798049069745,0.1304216965915109,0.42822793319348074,0.5967410005420399,False,,,,,,,
tcn,no_explicit_asset_id,7,equal_date,isotonic,0.21,completed,21514,3471,0.2600330538107536,0.693753472129083,0.4266561757699929,0.4530842890546307,0.5926362976720349,0.17986620331839037,0.5413633873601198,0.6944887287568154,False,,,,,,,
tcn,no_explicit_asset_id,7,equal_family,isotonic,0.21,completed,21514,3471,0.1464612135695259,0.650169410680658,0.29306207742983686,0.2799659732496798,0.5661882162698675,0.14162514821289454,0.4557618450045298,0.6102992504976132,False,,,,,,,
tcn,no_explicit_asset_id,42,pooled,isotonic,0.2,completed,21514,3471,0.16133680394161942,0.6929586708840638,0.3124833851382807,0.3064590719901341,0.5690869995527347,0.1390089307294816,0.4565621700305481,0.7432369619782467,False,0.532466045731377,0.5220174626405025,74.0,,,,
tcn,no_explicit_asset_id,42,equal_asset,isotonic,0.2,completed,21514,3471,0.13288843541753018,0.6786611755090234,0.26982419834650395,0.25879021179867673,0.5636021405060528,0.12685352228216834,0.42782027764902264,0.7263782163696075,False,,,,,,,
tcn,no_explicit_asset_id,42,equal_date,isotonic,0.2,completed,21514,3471,0.2600330538107536,0.6578209092963716,0.39897584364595196,0.42196797750354614,0.5439547857609252,0.18518926201355504,0.5707643030343906,0.7736664222172623,False,,,,,,,
tcn,no_explicit_asset_id,42,equal_family,isotonic,0.2,completed,21514,3471,0.1464612135695259,0.6820423211835593,0.29259757032207206,0.27472137391177404,0.5529611731080333,0.13407701796037622,0.4476678953920962,0.7556294396199937,False,,,,,,,
tcn,no_explicit_asset_id,123,pooled,isotonic,0.21,completed,21514,3471,0.16133680394161942,0.7165893975902152,0.35518684498917613,0.44579728719427536,0.6951912692067141,0.12169916107625843,0.4296783083701259,0.27386817886027703,False,0.4493715114865048,0.4528183006424397,74.0,,,,
tcn,no_explicit_asset_id,123,equal_asset,isotonic,0.21,completed,21514,3471,0.13288843541753018,0.6810861889883645,0.30859252132101045,0.3849331693973215,0.668098043033335,0.1069863335410273,0.38516558733244555,0.22093651755253,False,,,,,,,
tcn,no_explicit_asset_id,123,equal_date,isotonic,0.21,completed,21514,3471,0.2600330538107536,0.7375632865329284,0.4302453928052714,0.5530653556968933,0.7072210025022161,0.17128185417159192,0.5790201601648342,0.47501567664657923,False,,,,,,,
tcn,no_explicit_asset_id,123,equal_family,isotonic,0.21,completed,21514,3471,0.1464612135695259,0.6638075885437119,0.31046954064008736,0.3702024643118849,0.6491237880067913,0.11813814002120542,0.41786455773770154,0.2632989353915047,False,,,,,,,
tcn,no_explicit_asset_id,ensemble,pooled,isotonic,0.21,completed,21514,3471,0.16133680394161942,0.7326212759164129,0.3645965288738479,0.42333422531442333,0.6931042864038759,0.12718036385233483,0.4329330560069828,0.3597657339406898,False,0.4982519156316431,0.4710105660495434,74.0,0.4710105660495434,0.402088673278164,0.5322095149246656,1.0
