analysis,cell,split,group,n_obs,base_equal_asset_mae,changed_equal_asset_mae,equal_asset_mae_deterioration,base_spearman,changed_spearman,prediction_spearman,paired_difference_estimate,paired_difference_ci_lower,paired_difference_ci_upper,n_assets,n_dates,mae,equal_asset_mae,rmse,spearman,tail_threshold_training_q90,tail_n,tail_mae,top_decile_actual_mean,overall_actual_mean,top_decile_risk_enrichment,prediction_min,prediction_max
family,continuous_downside__mlp__asset_intercept_dynamic_residual,test,Commodities,2000.0,,,,,,,,,,8.0,250.0,0.08669551491395881,0.08669551491395881,0.10054852328962285,0.325104149989809,0.06444563865661622,423.0,0.062487667320051045,0.08855631544720381,0.038684731430839746,2.2891800504166375,0.0,0.37834028402964276
family,continuous_downside__mlp__asset_intercept_dynamic_residual,test,Crypto,4764.0,,,,,,,,,,12.0,397.0,0.06769250034930155,0.06769250034930155,0.08075265736678121,0.07335564537946146,0.06444563865661622,2210.0,0.05454894719704379,0.06788375795832532,0.07432268338518781,0.9133652724365205,0.0,0.20569846530755362
family,continuous_downside__mlp__asset_intercept_dynamic_residual,test,Equities,9750.0,,,,,,,,,,39.0,250.0,0.06142162048667033,0.06142162048667034,0.07320422900813199,0.11784151077336405,0.06444563865661622,173.0,0.03696588395604853,0.021678185613873677,0.016076663999125742,1.348425619584545,0.0,0.2790932257970174
family,continuous_downside__mlp__asset_intercept_dynamic_residual,test,FX,1500.0,,,,,,,,,,6.0,250.0,0.051968842798016134,0.05196884279801614,0.0646962006878536,0.2852813458988324,0.06444563865661622,0.0,,0.009820764033744732,0.007931117126718163,1.238257344688653,0.0,0.21394668022791544
family,continuous_downside__mlp__asset_intercept_dynamic_residual,test,Real assets,750.0,,,,,,,,,,3.0,250.0,0.053726556031240366,0.05372655603124036,0.06583220793648628,0.08328809804194007,0.06444563865661622,0.0,,0.014414253582557043,0.013670087782045206,1.0544375290324948,0.0,0.20261088013648987
subperiod,continuous_downside__mlp__asset_intercept_dynamic_residual,test,2025-03-15_to_2025-09-14,5922.0,,,,,,,,,,79.0,125.0,0.07637412197549044,0.07725895604780597,0.08445951873716391,0.289297886038352,0.06444563865661622,651.0,0.04117364701049577,0.029449456987013605,0.02233233558135444,1.3186913155470108,0.0,0.21635110676288605
subperiod,continuous_downside__mlp__asset_intercept_dynamic_residual,test,2025-09-15_to_2026-06-13,15592.0,,,,,,,,,,79.0,272.0,0.0591613400986105,0.058613866466237764,0.07358090089017356,0.3157841857356233,0.06444563865661622,2155.0,0.05873619967629328,0.0529937822270231,0.031417194032038596,1.68677642481315,0.0,0.37834028402964276
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,0,2155.0,,,,,,,,,,79.0,63.0,0.06594314828388283,0.06538783346758643,0.07920372680775482,0.21939753707636814,0.06444563865661622,275.0,0.05839361803549709,0.03535985795746523,0.02883704060865804,1.22619579579358,0.0,0.2984519402186076
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,1,2155.0,,,,,,,,,,79.0,63.0,0.06141197643468225,0.060583822637391656,0.0743542952933058,0.301913026181989,0.06444563865661622,273.0,0.05431762471071857,0.043109177115925205,0.02911526778941918,1.4806381802056299,0.0,0.3172394831975301
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,2,2155.0,,,,,,,,,,79.0,63.0,0.05875691343070068,0.05783413303896142,0.07194428650698848,0.33591228735924167,0.06444563865661622,260.0,0.05097289573974334,0.04806272811428816,0.02788007849797157,1.723909354049523,0.0,0.37834028402964276
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,3,2155.0,,,,,,,,,,79.0,63.0,0.06362643301262241,0.06322926911596162,0.07538636581176165,0.27827424397460504,0.06444563865661622,273.0,0.056939548800298,0.043787628463986844,0.028463055874089215,1.5384022241915372,0.0,0.3460555076599121
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,4,2155.0,,,,,,,,,,79.0,61.0,0.06888054930745449,0.06890297554804696,0.07891674649771054,0.2671153812820282,0.06444563865661622,267.0,0.05460148606537731,0.04438301674693961,0.027261950248925842,1.6280206053375936,0.0,0.3326895634333293
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,5,2155.0,,,,,,,,,,79.0,62.0,0.07020433630120104,0.07065644406342193,0.08122210347486147,0.24102150512704418,0.06444563865661622,289.0,0.05117133621990062,0.05184286284363932,0.027831670188554616,1.8627291316839107,0.0,0.3322255313396454
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,6,2155.0,,,,,,,,,,79.0,61.0,0.06162621492616493,0.061526378706325525,0.0745605962675812,0.36049472345467726,0.06444563865661622,299.0,0.049774469777634375,0.04983588884567359,0.028796681414710534,1.7306122232617873,0.0,0.32125115394592285
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,7,2143.0,,,,,,,,,,79.0,61.0,0.05783123019642329,0.05756878901509192,0.07137824591659725,0.28688324373197877,0.06444563865661622,301.0,0.05118354923965395,0.05949385911226272,0.029855842728166035,1.992704063119148,0.0,0.28046686947345734
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,8,2143.0,,,,,,,,,,79.0,61.0,0.06253455452786705,0.06195328284826008,0.07857628208460277,0.2512592378096228,0.06444563865661622,290.0,0.05917293567253256,0.04392225473772648,0.03082747573864777,1.4247762324134132,0.0,0.2790932257970174
nonoverlap_offset,continuous_downside__mlp__asset_intercept_dynamic_residual,test,9,2143.0,,,,,,,,,,79.0,61.0,0.06816073797752123,0.06795455565320413,0.0809986391941861,0.2516643119780097,0.06444563865661622,279.0,0.06050204017545623,0.0391928261752392,0.03031934182213057,1.2926674465813017,0.0,0.29235995809237164
family,continuous_downside__mlp__no_id_temporal,test,Bonds,2750.0,,,,,,,,,,11.0,250.0,0.7873071465031667,0.7873071465031668,0.8010280595611456,0.17334782824541453,0.06444563865661622,0.0,,0.008188714273273945,0.004279832230372862,1.9133259979586952,0.23944732050100961,0.9603024125099182
family,continuous_downside__mlp__no_id_temporal,test,Commodities,2000.0,,,,,,,,,,8.0,250.0,0.7364805898795214,0.7364805898795215,0.7515289794080686,0.06804942519321928,0.06444563865661622,423.0,0.6721617556562378,0.050617593340575695,0.038684731430839746,1.3084643855178217,0.23847460250059763,0.957121213277181
family,continuous_downside__mlp__no_id_temporal,test,Crypto,4764.0,,,,,,,,,,12.0,397.0,0.48530793926211235,0.4853079392621123,0.5146003728268853,0.012947935688129415,0.06444563865661622,2210.0,0.4243763540243536,0.07235703598981258,0.07432268338518781,0.9735525238615513,0.0932713473836581,0.8875579436620077
family,continuous_downside__mlp__no_id_temporal,test,Equities,9750.0,,,,,,,,,,39.0,250.0,0.7494141795079614,0.7494141795079612,0.7654249311649279,0.15395831949429847,0.06444563865661622,173.0,0.780335293583902,0.02719375936839825,0.016076663999125742,1.6915051138642359,0.17041020467877388,0.950670063495636
family,continuous_downside__mlp__no_id_temporal,test,FX,1500.0,,,,,,,,,,6.0,250.0,0.7818192695849057,0.7818192695849059,0.7960833870931071,0.009384750417329358,0.06444563865661622,0.0,,0.008916972906639179,0.007931117126718163,1.1243022595896217,0.22535501917203268,0.9604530334472656
family,continuous_downside__mlp__no_id_temporal,test,Real assets,750.0,,,,,,,,,,3.0,250.0,0.6933092320685585,0.6933092320685587,0.7148920739436501,0.1180536558643122,0.06444563865661622,0.0,,0.021431732314328353,0.013670087782045206,1.5677830790872884,0.17478573819001517,0.9378434816996256
subperiod,continuous_downside__mlp__no_id_temporal,test,2025-03-15_to_2025-09-14,5922.0,,,,,,,,,,79.0,125.0,0.5382650404216348,0.5576847782775708,0.580146953490018,-0.2030215779177148,0.06444563865661622,651.0,0.321157682763343,0.007073680350390494,0.02233233558135444,0.3167461067662087,0.0932713473836581,0.8860983848571777
subperiod,continuous_downside__mlp__no_id_temporal,test,2025-09-15_to_2026-06-13,15592.0,,,,,,,,,,79.0,272.0,0.7543584122974561,0.7708975430204125,0.768508991545797,-0.2550770747767225,0.06444563865661622,2155.0,0.5327705426206445,0.023835827546934477,0.031417194032038596,0.758687345618046,0.35268434882164,0.9604530334472656
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,0,2155.0,,,,,,,,,,79.0,63.0,0.6866220947844823,0.705225860832145,0.7137354091680138,-0.14956106345184222,0.06444563865661622,275.0,0.4655754287224827,0.019634209659502463,0.02883704060865804,0.680867705044861,0.10154341161251068,0.9603024125099182
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,1,2155.0,,,,,,,,,,79.0,63.0,0.6926373415513501,0.7119256660346146,0.7194506619028989,-0.19860169375244902,0.06444563865661622,273.0,0.46629516599342796,0.016013941783630463,0.02911526778941918,0.5500187015092511,0.0959329605102539,0.92065958182017
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,2,2155.0,,,,,,,,,,79.0,63.0,0.6944706352273462,0.713536434833153,0.7215167724836485,-0.1530673718843336,0.06444563865661622,260.0,0.47946034561938194,0.018220757526621497,0.02788007849797157,0.6535403954457,0.09731868157784145,0.9359891414642334
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,3,2155.0,,,,,,,,,,79.0,63.0,0.69420764230621,0.7134639716162916,0.7216855230666959,-0.13370318159987488,0.06444563865661622,273.0,0.48964523254769776,0.0240728795459425,0.028463055874089215,0.8457587847359979,0.10257288068532944,0.9502254923184713
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,4,2155.0,,,,,,,,,,79.0,61.0,0.6961933422227204,0.7147403710633948,0.7231272727508575,-0.1703790146897888,0.06444563865661622,267.0,0.49504840681875834,0.024104563558163743,0.027261950248925842,0.8841833888649803,0.0932713473836581,0.951273500919342
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,5,2155.0,,,,,,,,,,79.0,62.0,0.6934629032091575,0.7122041472406931,0.7196310009698909,-0.19785927301391248,0.06444563865661622,289.0,0.484679074642155,0.024206244205642078,0.027831670188554616,0.8697373905931293,0.1064755916595459,0.9604530334472656
nonoverlap_offset,continuous_downside__mlp__no_id_temporal,test,6,2155.0,,,,,,,,,,79.0,61.0,0.6981155984606436,0.7173044567834389,0.7237988427518873,-0.17991767413411353,0.06444563865661622,299.0,0.5042006814376833,0.028682574064953736,0.028796681414710534,0.9960374826490074,0.11527553200721741,0.9500584801038107
