split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
train,asset_ticker,XLRE,1,2047,210,0.10258915486077186,53,42,3.9622641509433962,-0.05954943985837974,-0.07239042166307241,1.4970424874003776,0.18095238095238095
train,asset_ticker,XLU,1,3498,209,0.059748427672955975,61,47,3.4262295081967213,-0.059024260318948585,-0.06939112034578798,1.7914269139977053,0.1339712918660287
train,asset_ticker,XLV,1,3498,240,0.0686106346483705,57,50,4.2105263157894735,-0.05131964348670637,-0.06105812411533351,2.0700283716233256,0.38333333333333336
train,asset_ticker,XLY,1,3498,381,0.10891938250428816,77,69,4.9480519480519485,-0.05438456115005641,-0.07160404050026348,1.5908182282249126,0.27034120734908135
train,asset_ticker,XRP-USD,1,2207,1111,0.5033982782057091,170,160,6.535294117647059,-0.0871934468856973,-0.11988349805818721,1.004513838366552,0.11251125112511251
validation,asset_ticker,ADA-USD,1,438,228,0.5205479452054794,36,33,6.333333333333333,-0.08794048446309705,-0.11742211272883502,1.0159857178327858,0.039473684210526314
validation,asset_ticker,AGG,1,297,0,0.0,0,0,,,,,
validation,asset_ticker,AVAX-USD,1,438,258,0.589041095890411,30,36,8.6,-0.09619226236839368,-0.13258354818845658,0.9541237419402456,0.03875968992248062
validation,asset_ticker,BCH-USD,1,438,220,0.502283105022831,40,34,5.5,-0.0713553036879695,-0.10945887817877503,1.0976746806039934,0.12272727272727273
validation,asset_ticker,BND,1,297,0,0.0,0,0,,,,,
validation,asset_ticker,BTC-USD,1,438,130,0.2968036529680365,31,21,4.193548387096774,-0.0625812697354019,-0.08559493036080057,1.1745263625103768,0.11538461538461539
validation,asset_ticker,CPER,1,297,28,0.09427609427609428,9,6,3.111111111111111,-0.06609244450698154,-0.08003254928941278,1.1411761537801126,0.0
validation,asset_ticker,DBA,1,297,20,0.06734006734006734,4,4,5.0,-0.06628747834106796,-0.07982284924375077,1.703360755312742,0.05
validation,asset_ticker,DIA,1,297,16,0.05387205387205387,4,4,4.0,0.025661291902021155,-0.0027884498433424776,2.12847697154264,0.875
validation,asset_ticker,DOGE-USD,1,438,225,0.5136986301369864,38,35,5.921052631578948,-0.09046348515033942,-0.13090771856486338,1.081573447185749,0.11555555555555555
validation,asset_ticker,DOT-USD,1,438,252,0.5753424657534246,30,35,8.4,-0.08595493349723837,-0.11557382093284846,0.9774316697394247,0.06746031746031746
validation,asset_ticker,EEM,1,297,14,0.04713804713804714,8,5,1.75,-0.04101747002120165,-0.0473508210975887,2.075136708309638,0.6428571428571429
validation,asset_ticker,EFA,1,297,2,0.006734006734006734,1,1,2.0,-0.059382694926127855,-0.060195997640686616,1.982395214664947,0.0
validation,asset_ticker,EMB,1,297,10,0.03367003367003367,3,2,3.3333333333333335,-0.019997949031865858,-0.027712329079576103,2.186565041684182,1.0
validation,asset_ticker,ETH-USD,1,438,176,0.4018264840182648,34,28,5.176470588235294,-0.08136244766176298,-0.10242202027488506,1.0753165091507086,0.056818181818181816
validation,asset_ticker,EWA,1,297,23,0.07744107744107744,9,6,2.5555555555555554,-0.05094494260634019,-0.05220223151174486,1.7896210376444963,0.391304347826087
