variant,seed,group,feature_names,method,n_obs,mean_signed_probability_delta,mean_absolute_probability_delta,mean_absolute_logit_attribution,status
no_explicit_asset_id,42,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,train_mean_scaled_zero_occlusion,144,0.22459173202514648,0.2830497920513153,,provenance_limited
no_explicit_asset_id,42,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,within_window_circular_shift,144,-0.13212114572525024,0.317051500082016,,provenance_limited
no_explicit_asset_id,42,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,integrated_gradients_raw_logit,48,,,0.01792101562023163,completed
no_explicit_asset_id,42,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,integrated_gradients_raw_logit,48,,,0.008913525380194187,completed
no_explicit_asset_id,42,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,integrated_gradients_raw_logit,48,,,0.019181838259100914,completed
no_explicit_asset_id,42,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,integrated_gradients_raw_logit,48,,,0.043500013649463654,completed
no_explicit_asset_id,42,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,integrated_gradients_raw_logit,48,,,0.03389221802353859,completed
no_explicit_asset_id,123,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,train_mean_scaled_zero_occlusion,144,0.02032490260899067,0.03354810178279877,,completed
no_explicit_asset_id,123,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,within_window_circular_shift,144,0.0016643332783132792,0.015321390703320503,,completed
no_explicit_asset_id,123,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,train_mean_scaled_zero_occlusion,144,0.00704276142641902,0.025868721306324005,,completed
no_explicit_asset_id,123,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,within_window_circular_shift,144,0.013025638647377491,0.02079906314611435,,completed
no_explicit_asset_id,123,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,train_mean_scaled_zero_occlusion,144,0.004404889419674873,0.007670243736356497,,completed
no_explicit_asset_id,123,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,within_window_circular_shift,144,0.002231526654213667,0.006177818402647972,,completed
no_explicit_asset_id,123,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,train_mean_scaled_zero_occlusion,144,0.002001915592700243,0.011237620376050472,,completed
no_explicit_asset_id,123,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,within_window_circular_shift,144,0.008654208853840828,0.012536859139800072,,completed
no_explicit_asset_id,123,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,train_mean_scaled_zero_occlusion,144,-0.27430787682533264,0.27430787682533264,,provenance_limited
no_explicit_asset_id,123,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,within_window_circular_shift,144,-0.007031000219285488,0.03147768974304199,,provenance_limited
no_explicit_asset_id,123,returns_momentum,return_close;log_return;open_close_return;overnight_gap;cum_return_5d;cum_return_20d;ma_distance_20d;ma_crossover_5_20d;rsi_14d;macd_12_26;rolling_drawdown_60d;distance_from_20d_high;distance_from_60d_high;negative_return_streak;downside_move_indicator,integrated_gradients_raw_logit,48,,,0.0010591240134090185,completed
no_explicit_asset_id,123,volatility,volatility_5d;volatility_10d;volatility_20d;downside_volatility_20d;ewma_volatility_20d,integrated_gradients_raw_logit,48,,,0.0015392828499898314,completed
no_explicit_asset_id,123,range_dispersion,high_low_range;intraday_range_proxy;rolling_high_low_range_20d,integrated_gradients_raw_logit,48,,,0.0007968730642460287,completed
no_explicit_asset_id,123,volume_liquidity,volume_change;volume_zscore_20d;volume_ma_ratio_20d;price_volume_interaction,integrated_gradients_raw_logit,48,,,0.0009517118451185524,completed
no_explicit_asset_id,123,macro_context,DFF;DGS2;DGS10;T10Y2Y;VIXCLS;BAMLH0A0HYM2;DTWEXBGS,integrated_gradients_raw_logit,48,,,0.01340502966195345,completed
corrected_asset_conditioned,not_applicable,family_identity,,direct_input_audit,0,,,,no_explicit_input_channel
corrected_asset_conditioned,not_applicable,missingness,,direct_input_audit,0,,,,no_explicit_input_channel
