split,asset_id,endpoints,positives,negatives,prevalence,raw_comparable_pairs,outcome_disjoint_pairs,selected_pairs,unique_endpoints,minimum_origin_distance,median_origin_distance,status,asset_ticker,family,registry_sha256
validation,44,238,12,226,0.05042016806722689,2712,2572,2572,238,10.0,68.0,selected,QUAL,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,45,238,10,228,0.04201680672268908,2280,2190,2190,238,10.0,64.0,selected,SHY,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,46,238,15,223,0.06302521008403361,3345,3177,3177,238,10.0,77.0,selected,SIZE,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,47,238,42,196,0.17647058823529413,8232,7772,4096,238,10.0,69.0,selected,SLV,Commodities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,48,379,181,198,0.47757255936675463,35838,34601,4096,379,10.0,116.0,selected,SOL-USD,Crypto,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,49,238,23,215,0.09663865546218488,4945,4717,4096,238,10.0,69.0,selected,SPY,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,50,238,0,238,0.0,0,0,0,0,,,insufficient_pair_support,TIP,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,51,238,4,234,0.01680672268907563,936,876,876,226,10.0,78.5,selected,TLT,Bonds,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,52,238,95,143,0.39915966386554624,13585,12818,4096,238,10.0,77.0,selected,UNG,Commodities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,54,238,3,235,0.012605042016806723,705,653,653,238,10.0,70.0,selected,USMV,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,55,238,38,200,0.15966386554621848,7600,7127,4096,238,10.0,74.0,selected,USO,Commodities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,56,238,11,227,0.046218487394957986,2497,2397,2397,238,10.0,67.0,selected,UUP,FX,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,57,238,2,236,0.008403361344537815,472,438,438,222,10.0,64.0,selected,VEA,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,58,238,1,237,0.004201680672268907,237,219,219,220,10.0,64.0,selected,VGK,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,59,238,18,220,0.07563025210084033,3960,3726,3726,238,10.0,74.5,selected,VLUE,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,60,238,20,218,0.08403361344537816,4360,4162,4096,238,10.0,89.0,selected,VNQ,Real assets,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,61,238,21,217,0.08823529411764706,4557,4375,4096,238,10.0,66.0,selected,VT,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,62,238,26,212,0.1092436974789916,5512,5265,4096,238,10.0,70.0,selected,VTI,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,63,238,5,233,0.02100840336134454,1165,1087,1087,238,10.0,74.0,selected,VTV,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,64,238,19,219,0.07983193277310924,4161,3951,3951,238,10.0,79.0,selected,VUG,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,65,238,12,226,0.05042016806722689,2712,2528,2528,238,10.0,71.0,selected,VWO,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,66,238,42,196,0.17647058823529413,8232,7805,4096,238,10.0,83.0,selected,XBI,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,67,238,13,225,0.0546218487394958,2925,2805,2805,238,10.0,84.0,selected,XLB,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,68,238,15,223,0.06302521008403361,3345,3140,3140,238,10.0,86.5,selected,XLC,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,69,238,27,211,0.1134453781512605,5697,5432,4096,238,10.0,77.0,selected,XLE,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,70,238,18,220,0.07563025210084033,3960,3761,3761,238,10.0,71.0,selected,XLF,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,71,238,14,224,0.058823529411764705,3136,2964,2964,238,10.0,65.0,selected,XLI,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,72,238,36,202,0.15126050420168066,7272,6956,4096,238,10.0,75.0,selected,XLK,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,73,379,198,181,0.5224274406332454,35838,34595,4096,379,10.0,119.0,selected,XLM-USD,Crypto,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,74,238,0,238,0.0,0,0,0,0,,,insufficient_pair_support,XLP,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,75,238,18,220,0.07563025210084033,3960,3780,3780,238,10.0,92.0,selected,XLRE,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,76,238,14,224,0.058823529411764705,3136,2944,2944,238,10.0,72.0,selected,XLU,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,77,238,15,223,0.06302521008403361,3345,3161,3161,238,10.0,69.0,selected,XLV,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,78,238,24,214,0.10084033613445378,5136,4870,4096,238,10.0,78.0,selected,XLY,Equities,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
validation,79,379,171,208,0.45118733509234826,35568,34273,4096,379,10.0,119.0,selected,XRP-USD,Crypto,efe45bc1c3d9bee8f15c6dd97c29ad64d529b4183fd606dd552183f7fb39ddd7
